Player,Batting Classification,Bowling Classification,DOB,Debut Date
D Muhumza,Right-hand batsman,Right-arm medium pace,1989-09-30,2010-01-30
SO Ngoche,Right-hand batsman,Slow left-arm orthodox,1989-06-06,2010-01-30
JDS Neesham,Left-hand batsman,Right-arm fast-medium,1990-09-17,2010-01-31
RT Lyons,Left-hand batsman,Slow left-arm orthodox,1984-12-08,2010-01-31
TC Bastiampillai,Right-hand batsman,Right-arm off-break,1985-10-26,2010-02-01
S Keshvani,Right-hand batsman,Right-arm off-break,1984-05-23,2010-02-01
Khurram Chauhan,Right-hand batsman,Right-arm fast-medium,1980-02-22,2010-02-01
Karim Sadiq,Right-hand batsman,Right-arm off-break,1984-02-18,2010-02-01
Shafiqullah Shinwari,Right-hand batsman,null,1989-08-07,2010-02-01
Mohammad Shahzad,Right-hand batsman,null,1991-07-15,2010-02-01
Nawroz Mangal,Right-hand batsman,Right-arm off-break,1984-11-28,2010-02-01
Asghar Stanikzai,Right-hand batsman,Right-arm medium-fast,1987-02-27,2010-02-01
Raees Ahmadzai,Right-hand batsman,Right-arm off-break,1984-09-03,2010-02-01
Mohammad Nabi,Right-hand batsman,Right-arm off-break,1985-03-07,2010-02-01
Samiullah Shenwari,Right-hand batsman,Leg-break,1987-12-31,2010-02-01
Hamid Hassan,Right-hand batsman,Right-arm fast-medium,1987-06-01,2010-02-01
Shapoor Zadran,Left-hand batsman,Left-arm fast-medium,1987-07-08,2010-02-01
Dawlat Ahmadzai,Right-hand batsman,Right-arm fast-medium,1984-09-05,2010-02-01
GH Dockrell,Right-hand batsman,Slow left-arm orthodox,1992-07-22,2010-02-01
SJS Smith,Right-hand batsman,null,1979-12-08,2010-02-01
G Goudie,Right-hand batsman,Right-arm medium-fast,1987-08-12,2010-02-01
EA Otieno,Right-hand batsman,Right-arm medium pace,1988-01-03,2010-02-02
NM Odhiambo,Right-hand batsman,Right-arm medium pace,1989-03-21,2010-02-02
F Isabirye,Right-hand batsman,null,1984-09-22,2010-02-02
R Otim,Right-hand batsman,Leg-break,1986-10-21,2010-02-02
Shafiul Islam,Right-hand batsman,Right-arm fast-medium,1989-10-06,2010-02-03
H Patel,Right-hand batsman,Slow left-arm orthodox,1991-08-10,2010-02-03
Usman Limbada,Right-hand batsman,Right-arm medium pace,1989-10-02,2010-02-03
GE Kidd,Left-hand batsman,Slow left-arm orthodox,1985-09-18,2010-02-03
PS Eaglestone,Left-hand batsman,Left-arm fast-medium,1982-06-17,2010-02-03
Noor Ali Zadran,Right-hand batsman,Right-arm medium-fast,1988-07-10,2010-02-03
Mirwais Ashraf,Right-hand batsman,Right-arm fast-medium,1988-06-30,2010-02-03
NG Jones,Right-hand batsman,Right-arm medium pace,1982-04-22,2010-02-04
FDM Karunaratne,Left-hand batsman,Right-arm medium pace,1988-04-28,2010-02-04
E O'Reilly,Right-hand batsman,Right-arm fast-medium,1985-12-27,2010-02-05
KA Maharaj,Right-hand batsman,Slow left-arm orthodox,1990-02-07,2010-02-07
SS Nadkarni,Left-hand batsman,Right-arm off-break,1976-05-31,2010-02-09
CD Wright,Right-hand batsman,null,1977-09-17,2010-02-09
TP Allen,Right-hand batsman,Right-arm fast-medium,1987-01-22,2010-02-09
SJ Massiah,Right-hand batsman,Right-arm off-break,1979-06-21,2010-02-09
S Dhaniram,Right-hand batsman,Right-arm off-break,1967-01-14,2010-02-09
OM Baker,Right-hand batsman,Right-arm medium pace,1979-09-15,2010-02-09
S Verma,Right-hand batsman,Leg-break and googly,1981-11-04,2010-02-09
Usman Shuja,Right-hand batsman,Right-arm fast-medium,1978-11-29,2010-02-09
RA Marshall,Right-hand batsman,null,1982-08-30,2010-02-09
KG Darlington,Right-hand batsman,Right-arm fast-medium,1972-04-26,2010-02-09
IS Billcliff,Right-hand batsman,Right-arm medium pace,1972-10-26,2010-02-09
AF Buurman,Right-hand batsman,null,1982-03-21,2010-02-09
EHSN Silva,Left-hand batsman,Slow left-arm orthodox,1978-08-18,2010-02-09
Arsalan Qadir,Right-hand batsman,Right-arm medium-fast,1989-09-15,2010-02-10
A Thyagarajan,Right-hand batsman,Leg-break,1978-11-07,2010-02-10
Mohammad Kashif,Right-hand batsman,Slow left-arm orthodox,1984-12-03,2010-02-10
Imran Awan,Right-hand batsman,Right-arm medium-fast,1979-06-02,2010-02-11
Awais Alam,Right-hand batsman,Right-arm fast-medium,1977-07-03,2010-02-11
Saad Bin Zafar,Left-hand batsman,Slow left-arm orthodox,1986-11-10,2010-02-11
MBS Jonkman,Right-hand batsman,Right-arm medium-fast,1986-03-20,2010-02-11
TL Chatara,Right-hand batsman,Right-arm fast-medium,1991-02-28,2010-02-12
GM Ewing,Right-hand batsman,Right-arm off-break,1981-01-21,2010-02-12
KO Meth,Right-hand batsman,Right-arm medium pace,1988-02-08,2010-02-12
DD Ebrahim,Right-hand batsman,Right-arm medium pace,1980-08-07,2010-02-12
DR Higgins,Right-hand batsman,Leg-break,1991-04-05,2010-02-12
DA Marillier,Right-hand batsman,Right-arm off-break,1978-04-24,2010-02-12
RE Butterworth,Right-hand batsman,Right-arm medium pace,1981-04-14,2010-02-12
K Nipper,Left-hand batsman,Slow left-arm orthodox,1987-11-25,2010-02-13
K Zondo,Right-hand batsman,Right-arm off-break,1990-03-07,2010-02-13
R van Schoor,Right-hand batsman,Right-arm off-break,1990-05-23,2010-02-13
GJ Rudolph,Right-hand batsman,Leg-break,1988-03-02,2010-02-13
CG Williams,Right-hand batsman,Right-arm medium pace,1984-02-25,2010-02-13
D Pretorius,Right-hand batsman,Right-arm medium-fast,1989-03-29,2010-02-13
RN Manyande,Right-hand batsman,Right-arm medium pace,1982-08-29,2010-02-13
T Verwey,Right-hand batsman,Leg-break,1981-11-02,2010-02-13
C Viljoen,Right-hand batsman,Right-arm medium pace,1987-09-28,2010-02-13
BM Scholtz,Right-hand batsman,Slow left-arm orthodox,1990-10-03,2010-02-13
WJ Groenewald,Right-hand batsman,Right-arm off-break,1990-06-27,2010-02-13
L Klazinga,Right-hand batsman,Right-arm fast-medium,1985-12-04,2010-02-13
Sikandar Raza,Right-hand batsman,Right-arm off-break,1986-04-24,2010-02-13
CR Ervine,Left-hand batsman,Right-arm off-break,1985-08-19,2010-02-13
A Maregwede,Right-hand batsman,null,1981-08-05,2010-02-13
R Ervine,Right-hand batsman,Right-arm medium pace,1988-07-19,2010-02-13
S von Berg,Right-hand batsman,Leg-break,1986-09-16,2010-02-14
CS Delport,Left-hand batsman,Right-arm medium pace,1989-05-12,2010-02-19
V Gobind,Left-hand batsman,Right-arm fast-medium,1984-12-22,2010-02-19
R Pietersen,Right-hand batsman,Left-arm fast-medium,1988-02-10,2010-02-19
BL Bennett,Right-hand batsman,Leg-break,1981-09-09,2010-02-19
T Louw,Right-hand batsman,Right-arm medium pace,1988-06-10,2010-02-20
R Cameron,Right-hand batsman,Right-arm medium-fast,1986-06-17,2010-02-21
WA Eranga,Right-hand batsman,Right-arm off-break,1987-06-09,2010-02-24
KDK Vithanage,Left-hand batsman,Leg-break,1991-02-26,2010-02-24
JGA Janoda,Right-hand batsman,Right-arm medium-fast,1987-09-11,2010-02-24
MA Liyanapathiranage,Right-hand batsman,Right-arm off-break,1992-04-01,2010-02-24
EMDY Munaweera,Right-hand batsman,Right-arm off-break,1989-04-24,2010-02-24
SC Serasinghe,Right-hand batsman,Right-arm off-break,1987-04-13,2010-02-24
PJ Malan,Right-hand batsman,Right-arm medium-fast,1989-08-13,2010-02-24
WGRK Alwis,Left-hand batsman,Slow left-arm orthodox,1987-02-21,2010-02-25
MLR Buddika,Left-hand batsman,Right-arm off-break,1990-11-14,2010-02-25
AR Berenger,Right-hand batsman,null,1991-08-29,2010-02-27
PLS Gamage,Right-hand batsman,Right-arm medium pace,1988-04-05,2010-02-27
Nasrullah Khan,Right-hand batsman,Right-arm medium-fast,1990-09-14,2010-02-28
Taimur Khan,Right-hand batsman,Right-arm off-break,1991-01-25,2010-02-28
Abdul Jabbar,Right-hand batsman,Right-arm off-break,1987-04-24,2010-02-28
Junaid Iqbal,Right-hand batsman,null,1989-12-25,2010-02-28
Shahid Akram,Right-hand batsman,Right-arm fast-medium,1978-06-17,2010-02-28
Zulfiqar Babar,Right-hand batsman,Slow left-arm orthodox,1978-12-10,2010-02-28
Mohammad Irfan,Right-hand batsman,Left-arm medium-fast,1982-06-06,2010-02-28
Israrullah,Left-hand batsman,Slow left-arm orthodox,1990-01-15,2010-02-28
Mohammad Idrees,Right-hand batsman,Right-arm medium-fast,1983-05-05,2010-02-28
Azam Jan,Right-hand batsman,Right-arm off-break,1983-07-05,2010-02-28
Kashif Hayat,Right-hand batsman,null,1985-10-03,2010-02-28
Hamad-ul-Hasan,Right-hand batsman,Right-arm off-break,1988-04-02,2010-02-28
Ali Waqas,Left-hand batsman,Right-arm off-break,1989-12-26,2010-03-01
Asif Afridi,Left-hand batsman,Left-arm medium-fast,1986-12-25,2010-03-01
Ahmed Jamal,Right-hand batsman,Right-arm fast-medium,1988-09-03,2010-03-01
Mohammad Naeem,Right-hand batsman,Right-arm medium-fast,1990-09-04,2010-03-01
Taimur Siddiq,Right-hand batsman,null,1988-08-12,2010-03-01
Naushad Irshad,Left-hand batsman,null,1993-12-15,2010-03-01
Mohammad Awais,Right-hand batsman,null,1992-10-25,2010-03-01
Zahid Mahmood,Right-hand batsman,Leg-break,1988-03-20,2010-03-01
Saad Nasim,Right-hand batsman,Leg-break,1990-04-29,2010-03-02
Ghulam Shabir,null,null,1991-02-06,2010-03-02
Nasrullah Memon,Right-hand batsman,Right-arm off-break,1978-03-02,2010-03-02
Rehan Nizamuddin,Right-hand batsman,Leg-break,1985-01-02,2010-03-02
Hammad Azam,Right-hand batsman,Right-arm medium pace,1991-03-16,2010-03-02
Raza Hasan,Right-hand batsman,Slow left-arm orthodox,1992-07-08,2010-03-02
Babar Rehman,Right-hand batsman,Right-arm fast-medium,1984-08-14,2010-03-02
Gauhar Ali,Left-hand batsman,Slow left-arm orthodox,1982-12-13,2010-03-03
Mohammad Sami,Right-hand batsman,Right-arm off-break,1992-02-05,2010-03-03
Awais Khan,Right-hand batsman,null,1991-10-02,2010-03-03
Sajid Afridi,Right-hand batsman,null,1985-08-01,2010-03-03
Adil Amin,Right-hand batsman,Right-arm off-break,1990-12-13,2010-03-03
Mohammad Asif,Right-hand batsman,null,1975-04-01,2010-03-03
MSD Fernando,Right-hand batsman,Right-arm off-break,1988-12-25,2010-03-04
RMS Eranga,Right-hand batsman,Right-arm medium-fast,1986-06-23,2010-03-04
WAS Niroshan,Right-hand batsman,null,1985-11-29,2010-03-04
KG Alwitigala,Right-hand batsman,Right-arm medium-fast,1986-06-07,2010-03-04
H Dogra,Right-hand batsman,Right-arm medium pace,1982-03-06,2010-03-12
N Chauhan,Right-hand batsman,Right-arm off-break,1987-10-21,2010-03-12
SR Sinha,Right-hand batsman,Leg-break and googly,1986-12-30,2010-03-12
Ratan Kumar,Right-hand batsman,Right-arm medium pace,1983-12-03,2010-03-12
YV Krishanatry,Right-hand batsman,Right-arm medium pace,1983-12-14,2010-03-12
ARD Mandhani,Right-hand batsman,Right-arm fast-medium,1987-12-20,2010-03-12
KR Upadhyay,Right-hand batsman,Right-arm medium pace,1986-06-18,2010-03-12
PK Debnath,Right-hand batsman,Right-arm off-break,1987-07-25,2010-03-12
AS Sinha,Right-hand batsman,Leg-break and googly,1988-11-26,2010-03-12
KN Saikia,Right-hand batsman,null,1986-06-19,2010-03-12
AK Das,Right-hand batsman,Right-arm medium pace,1991-07-27,2010-03-12
RN Das,Right-hand batsman,null,1990-03-11,2010-03-12
SS Baig,Right-hand batsman,Right-arm medium pace,1989-05-07,2010-03-13
RP Shrivastava,Right-hand batsman,Left-arm medium pace,1989-03-09,2010-03-13
AN Sharma,Left-hand batsman,Slow left-arm orthodox,1991-04-20,2010-03-13
AJ Shrikhande,Right-hand batsman,Right-arm fast-medium,1986-07-25,2010-03-13
SD Atitkar,Right-hand batsman,Right-arm fast-medium,1988-01-23,2010-03-13
KP Bhikane,Right-hand batsman,Right-arm fast-medium,1987-12-18,2010-03-13
SH Marathe,Right-hand batsman,Leg-break and googly,1985-10-16,2010-03-13
SA Yadav,Right-hand batsman,Right-arm medium pace,1990-09-14,2010-03-13
OD Gurav,Right-hand batsman,Right-arm (unknown style),1988-06-29,2010-03-13
GA Jathar,Right-hand batsman,Slow left-arm orthodox,1991-01-30,2010-03-13
UR Malvi,Right-hand batsman,Right-arm fast-medium,1981-11-22,2010-03-13
DD Prince,Left-hand batsman,Right-arm off-break,1986-03-14,2010-03-13
P Akshath Reddy,Right-hand batsman,Leg-break and googly,1991-02-11,2010-03-13
NR Bist,Right-hand batsman,Right-arm fast-medium,1990-04-03,2010-03-13
PS Niranjan,Left-hand batsman,Leg-break,1984-12-16,2010-03-13
AA Bhandari,Right-hand batsman,Leg-break,1993-06-10,2010-03-13
PKK Naidu,Right-hand batsman,Right-arm medium pace,1990-10-07,2010-03-13
K Vivek Krishna,Right-hand batsman,Right-arm fast-medium,1990-09-12,2010-03-13
Abdul Baseer,Right-hand batsman,Right-arm medium pace,1989-02-09,2010-03-13
A Rana,Left-hand batsman,Slow left-arm orthodox,1991-09-21,2010-03-14
V Subramania Siva,Right-hand batsman,Right-arm medium pace,1984-03-03,2010-03-14
R Suthesh,Left-hand batsman,Left-arm medium pace,1987-04-08,2010-03-14
M Prabhu,Right-hand batsman,Right-arm off-break,1987-12-14,2010-03-14
U Chand,Right-hand batsman,Right-arm off-break,1993-03-26,2010-03-14
M Sharma,Left-hand batsman,Right-arm off-break,1991-12-19,2010-03-14
A Julka,Right-hand batsman,Right-arm medium pace,1987-03-30,2010-03-14
P Mehra,Right-hand batsman,Slow left-arm orthodox,1988-10-06,2010-03-14
Milind Kumar,Right-hand batsman,Right-arm off-break,1991-02-15,2010-03-14
B Veer,Right-hand batsman,Right-arm medium pace,1988-02-02,2010-03-14
P Awana,Right-hand batsman,Right-arm medium pace,1986-07-19,2010-03-14
Sarabjit Singh,Right-hand batsman,Leg-break and googly,1986-07-10,2010-03-15
P Chimkara,Right-hand batsman,Right-arm medium pace,1985-11-11,2010-03-15
GH Vihari,Right-hand batsman,Right-arm off-break,1993-10-13,2010-03-15
Mandeep Singh,Right-hand batsman,Right-arm fast-medium,1991-12-18,2010-03-22
HS Bhatia,Left-hand batsman,Right-arm medium pace,1991-08-11,2010-03-22
JD Unadkat,Right-hand batsman,Left-arm fast-medium,1991-10-18,2010-04-04
AP Dole,Right-hand batsman,Right-arm medium pace,1987-10-09,2010-04-05
JRC Campbell,Right-hand batsman,Right-arm off-break,1990-07-09,2010-04-10
AD Russell,Right-hand batsman,Right-arm fast,1988-04-29,2010-04-10
BM Brown,Right-hand batsman,Right-arm off-break,1979-09-02,2010-04-10
K Santokie,Left-hand batsman,Left-arm medium pace,1984-12-20,2010-04-10
AP Richardson,Left-hand batsman,Right-arm fast-medium,1981-09-06,2010-04-10
JJ Dawood,Left-hand batsman,Right-arm off-break,1982-05-09,2010-04-10
PA Desai,Right-hand batsman,Slow left-arm orthodox,1990-12-11,2010-04-10
Uttam Sarkar,Right-hand batsman,Right-arm medium pace,1986-11-11,2010-04-11
Nafees Iqbal,Right-hand batsman,Right-arm medium pace,1985-01-31,2010-04-11
Faisal Hossain,Left-hand batsman,Slow left-arm orthodox,1978-10-26,2010-04-11
Nasir Hossain,Right-hand batsman,Right-arm off-break,1991-11-30,2010-04-11
Sharifullah,Right-hand batsman,Right-arm off-break,1986-07-30,2010-04-11
Enamul Haque,Right-hand batsman,Slow left-arm orthodox,1986-12-05,2010-04-11
Hannan Sarkar,Right-hand batsman,Right-arm medium pace,1982-12-01,2010-04-11
Shuvagata Hom,Right-hand batsman,Right-arm off-break,1986-11-11,2010-04-11
Khaled Mashud,Right-hand batsman,null,1976-02-08,2010-04-11
Sanjamul Islam,Left-hand batsman,Slow left-arm orthodox,1990-01-17,2010-04-11
Mukhtar Ali,Right-hand batsman,Right-arm medium-fast,1989-10-10,2010-04-11
DL Morgan,Right-hand batsman,Right-arm off-break,1981-10-14,2010-04-11
Saqlain Sajib,Left-hand batsman,Slow left-arm orthodox,1988-12-01,2010-04-12
Rashid Hanif,Left-hand batsman,Slow left-arm orthodox,1978-01-04,2010-04-12
Nazmul Hossain Milon,Right-hand batsman,Right-arm medium pace,1987-09-11,2010-04-12
Mosharraf Hossain,Left-hand batsman,Slow left-arm orthodox,1981-11-20,2010-04-12
Ariful Haque,Right-hand batsman,Right-arm medium-fast,1992-11-18,2010-04-12
Imtiaz Hossain,Right-hand batsman,Right-arm off-break,1985-02-24,2010-04-12
Mithun Ali,Right-hand batsman,null,1990-02-03,2010-04-12
Tushar Imran,Right-hand batsman,Right-arm medium pace,1983-12-10,2010-04-12
Alauddin Babu,Right-hand batsman,Right-arm medium-fast,1991-12-05,2010-04-12
Farhad Hossain,Right-hand batsman,Right-arm off-break,1987-02-10,2010-04-12
Dolar Mahmud,Right-hand batsman,Right-arm fast-medium,1988-12-30,2010-04-12
Elias Sunny,Left-hand batsman,Slow left-arm orthodox,1986-08-02,2010-04-12
Mohammad Sharif,Right-hand batsman,Right-arm medium-fast,1985-12-12,2010-04-12
Rony Talukdar,Right-hand batsman,Right-arm medium-fast,1989-05-29,2010-04-12
Sabbir Rahman,Right-hand batsman,Leg-break,1991-08-20,2010-04-12
Mahmudul Hasan,Right-hand batsman,Right-arm off-break,1990-12-10,2010-04-12
Ziaur Rahman,Right-hand batsman,Right-arm fast-medium,1986-12-02,2010-04-12
Robiul Islam,Right-hand batsman,Right-arm fast-medium,1986-10-20,2010-04-12
Shamsur Rahman,Right-hand batsman,Right-arm medium pace,1988-06-05,2010-04-12
Jahurul Islam,Right-hand batsman,Right-arm off-break,1986-12-12,2010-04-12
Noor Hossain,Right-hand batsman,Leg-break,1992-12-03,2010-04-12
Tapash Baisya,Right-hand batsman,Right-arm fast-medium,1982-12-25,2010-04-12
Nabil Samad,Left-hand batsman,Slow left-arm orthodox,1986-10-09,2010-04-12
Nurul Hasan,Right-hand batsman,null,1993-11-21,2010-04-13
Marshall Ayub,Right-hand batsman,Leg-break,1988-12-05,2010-04-13
Kamrul Islam,Right-hand batsman,Left-arm medium-fast,1987-10-12,2010-04-15
Tareq Aziz,Right-hand batsman,Right-arm medium-fast,1983-09-04,2010-04-15
Rumman Ahmed,Right-hand batsman,null,1991-10-05,2010-04-15
Fariduddin,Right-hand batsman,Right-arm off-break,1985-05-07,2010-04-15
Emon Ahmed,null,null,-,2010-04-16
Monir Hossain,Left-hand batsman,Slow left-arm orthodox,1985-01-27,2010-04-16
Sajib Datta,Left-hand batsman,Slow left-arm orthodox,1985-01-01,2010-04-16
Gazi Salahuddin,Right-hand batsman,Right-arm off-break,1984-11-08,2010-04-17
Anisur Rahman,Right-hand batsman,null,1977-01-01,2010-04-17
Taposh Ghosh,Left-hand batsman,Slow left-arm orthodox,1991-08-11,2010-04-17
Mohammad Shahzada,Right-hand batsman,Right-arm medium-fast,1986-09-10,2010-04-17
KA Edwards,Right-hand batsman,Right-arm off-break,1984-11-03,2010-04-22
AB Fudadin,Left-hand batsman,Right-arm medium-fast,1985-08-01,2010-04-22
SO Dowrich,Right-hand batsman,null,1991-10-30,2010-04-22
I Khan,Right-hand batsman,Leg-break,1984-12-06,2010-04-22
JO Holder,Right-hand batsman,Right-arm medium-fast,1991-11-05,2010-04-22
ST Gabriel,Right-hand batsman,Right-arm fast,1988-04-28,2010-04-22
BJ Bess,Right-hand batsman,Right-arm fast-medium,1987-12-13,2010-04-24
MA Comber,Right-hand batsman,Right-arm medium-fast,1989-10-26,2010-06-02
AJ Blake,Left-hand batsman,Right-arm medium pace  Right-arm off-break,1989-01-25,2010-06-02
MT Coles,Left-hand batsman,Right-arm fast-medium,1990-05-26,2010-06-03
DR Briggs,Right-hand batsman,Slow left-arm orthodox,1991-04-30,2010-06-03
CP Wood,Right-hand batsman,Left-arm medium-fast,1990-06-27,2010-06-03
V Tripathi,Right-hand batsman,Leg-break,1988-03-03,2010-06-03
JA Brooks,Right-hand batsman,Right-arm fast-medium,1984-06-04,2010-06-03
JM Bairstow,Right-hand batsman,Right-arm (unknown style),1989-09-26,2010-06-03
SC Kerrigan,Right-hand batsman,Slow left-arm orthodox,1989-05-10,2010-06-04
BA Stokes,Left-hand batsman,Right-arm fast-medium,1991-06-04,2010-06-04
JG Cameron,Left-hand batsman,Right-arm medium pace,1986-01-31,2010-06-04
JD Shantry,Left-hand batsman,Left-arm medium pace,1988-01-29,2010-06-04
Imran Arif,Right-hand batsman,Right-arm fast-medium,1984-01-15,2010-06-04
JC Mickleburgh,Right-hand batsman,Right-arm medium pace,1990-03-30,2010-06-10
WT Owen,Right-hand batsman,Right-arm medium pace,1988-09-02,2010-06-11
REM Williams,Right-hand batsman,Right-arm medium-fast,1987-01-19,2010-06-11
JK Manuel,Left-hand batsman,Right-arm off-break,1991-02-13,2010-06-11
WL Madsen,Right-hand batsman,Right-arm off-break,1984-01-02,2010-06-11
RA Jones,Right-hand batsman,Right-arm medium-fast,1986-11-06,2010-06-13
SA Northeast,Right-hand batsman,Right-arm off-break,1989-10-16,2010-06-18
JM Vince,Right-hand batsman,Right-arm medium pace,1991-03-14,2010-06-19
D Murphy,Right-hand batsman,Right-arm off-break,1989-06-24,2010-06-20
CDJ Dent,Left-hand batsman,Slow left-arm orthodox,1991-01-20,2010-06-23
NL Buck,Right-hand batsman,Right-arm medium-fast,1991-04-26,2010-06-23
JH Davey,Right-hand batsman,Right-arm fast-medium,1990-08-03,2010-06-24
SA Shaw,Right-hand batsman,Left-arm fast-medium,1991-04-15,2010-06-24
OB Cox,Right-hand batsman,null,1992-02-02,2010-06-25
HT Waters,Right-hand batsman,Right-arm medium pace,1986-09-26,2010-06-26
DA Payne,Right-hand batsman,Left-arm fast-medium,1991-02-15,2010-06-27
CP Ashling,Right-hand batsman,Right-arm medium-fast,1988-11-26,2010-06-28
TJ Lancefield,Left-hand batsman,Slow left-arm orthodox,1990-10-08,2010-07-02
SC Meaker,Right-hand batsman,Right-arm fast-medium,1989-01-21,2010-07-02
RI Newton,Right-hand batsman,Leg-break,1990-01-18,2010-07-03
SL Elstone,Right-hand batsman,Right-arm off-break,1990-06-10,2010-07-04
GS Ballance,Left-hand batsman,Leg-break,1989-11-22,2010-07-04
MD Stoneman,Left-hand batsman,Right-arm off-break,1987-06-26,2010-07-09
SH Choudhry,Right-hand batsman,Slow left-arm orthodox,1985-11-03,2010-07-09
BHN Howgego,Left-hand batsman,Right-arm medium pace,1988-03-03,2010-07-11
Saqib Shah,Right-hand batsman,null,1979-09-01,2010-07-12
Amjad Ali,Left-hand batsman,Right-arm medium pace,1979-09-25,2010-07-12
SP Patil,Right-hand batsman,null,1985-04-15,2010-07-12
Amjad Javed,Right-hand batsman,Right-arm medium pace,1980-07-05,2010-07-12
Arshad Ali,Right-hand batsman,Right-arm medium pace,1976-04-06,2010-07-12
S Rayner,Right-hand batsman,Left-arm medium pace,1984-03-26,2010-07-12
JA DeSilva,Left-hand batsman,Left-arm fast-medium,1990-05-04,2010-07-12
J Gilbert,Right-hand batsman,Right-arm off-break,1993-09-23,2010-07-12
C Burgess,Left-hand batsman,null,1994-04-24,2010-07-12
K Tucker,Right-hand batsman,Left-arm medium-fast,1979-07-20,2010-07-12
Tahir Butt,Right-hand batsman,Right-arm fast-medium,1982-04-24,2010-07-12
FS Crockwell,Right-hand batsman,null,1985-07-08,2010-07-12
TS Fray,Right-hand batsman,Right-arm medium pace,1991-06-30,2010-07-12
J West,Right-hand batsman,Right-arm medium-fast,1982-09-15,2010-07-12
WD Bragg,Left-hand batsman,Right-arm medium pace,1986-10-24,2010-07-16
LJ Hodgson,Right-hand batsman,Right-arm medium-fast,1986-06-29,2010-07-17
BW Sanderson,Right-hand batsman,Right-arm medium-fast,1989-01-03,2010-07-17
A Carter,Right-hand batsman,Right-arm medium pace,1988-08-27,2010-07-18
MD Bates,Right-hand batsman,null,1990-10-10,2010-07-18
TG Gordon,Left-hand batsman,Right-arm fast-medium,1982-01-31,2010-07-22
Hamza Tariq,Right-hand batsman,null,1990-07-20,2010-07-22
KH Mentore,Right-hand batsman,null,1984-09-19,2010-07-22
JA Foo,Right-hand batsman,Right-arm off-break,1990-09-11,2010-07-23
D Bishoo,Left-hand batsman,Leg-break and googly,1985-11-06,2010-07-23
AR Nurse,Right-hand batsman,Right-arm off-break,1988-12-22,2010-07-23
KA Stoute,Right-hand batsman,Right-arm medium-fast,1985-11-12,2010-07-23
CAK Walton,Right-hand batsman,null,1985-07-03,2010-07-23
BBB Yearwood,Left-hand batsman,Right-arm fast-medium,1986-08-18,2010-07-23
N Parris,Right-hand batsman,null,1987-06-06,2010-07-23
RA Wiggins,Right-hand batsman,Right-arm off-break,1984-01-30,2010-07-23
G Moore,Right-hand batsman,Right-arm medium-fast,1982-02-26,2010-07-23
K Kantasingh,Left-hand batsman,Slow left-arm orthodox,1986-09-30,2010-07-23
RA Austin,Right-hand batsman,Right-arm off-break,1981-11-15,2010-07-23
OJ Phillips,Left-hand batsman,Right-arm medium pace,1986-10-12,2010-07-23
KIT Phillip,Left-hand batsman,Slow left-arm orthodox,1989-11-25,2010-07-24
JO Hinds,Right-hand batsman,Right-arm off-break,1984-02-15,2010-07-25
JPR Scantlebury-Searles,Right-hand batsman,Right-arm fast-medium,1986-12-21,2010-07-25
RMR Brathwaite,Right-hand batsman,Right-arm fast-medium,1985-09-06,2010-07-25
T Westley,Right-hand batsman,Right-arm off-break,1989-03-13,2010-07-27
LL Babb,Right-hand batsman,Left-arm medium-fast,1983-05-06,2010-07-30
DAJ Bracewell,Right-hand batsman,Right-arm medium pace,1990-09-28,2010-09-11
AF Milne,Right-hand batsman,Right-arm fast,1992-04-13,2010-09-11
BMK Patton,Left-hand batsman,Right-arm medium-fast,1979-11-09,2010-09-15
PG Wintz,Right-hand batsman,Right-arm fast-medium,1986-03-07,2010-09-16
SA Jacobs,Right-hand batsman,Right-arm off-break,1988-09-13,2010-09-19
RN Ramdeen,Right-hand batsman,Slow left-arm orthodox,1988-02-16,2010-09-21
E Steenkamp,Right-hand batsman,null,1988-04-18,2010-09-26
W Myburgh,Right-hand batsman,null,1990-05-31,2010-09-26
LP van der Westhuizen,Left-hand batsman,Slow left-arm orthodox,1988-03-31,2010-09-26
GP Lotter,Right-hand batsman,null,1993-01-03,2010-09-26
A Ollewagen,Right-hand batsman,Right-arm medium pace,1985-03-25,2010-09-26
HS Almuzahim,Right-hand batsman,Right-arm off-break,1986-04-20,2010-09-26
Haroon Ahmed,Left-hand batsman,Right-arm medium-fast,1986-11-15,2010-10-10
Gauhar Ali,Right-hand batsman,null,1989-05-05,2010-10-10
Akbar Badshah,Right-hand batsman,Right-arm off-break,1985-12-15,2010-10-10
Raza Ali Dar,Left-hand batsman,Slow left-arm orthodox,1987-12-11,2010-10-10
Adnan Rasool,Right-hand batsman,Right-arm off-break,1981-05-01,2010-10-10
Jahangir Shah,Right-hand batsman,Right-arm medium-fast,1980-02-02,2010-10-10
Ali Asad,Left-hand batsman,Leg-break,1988-12-25,2010-10-10
Adnan Baig,Right-hand batsman,Right-arm (unknown style),1984-05-19,2010-10-10
Haris Sohail,Left-hand batsman,Left-arm medium pace,1989-01-09,2010-10-10
Sarmad Anwar,Right-hand batsman,Right-arm fast-medium,1988-08-19,2010-10-10
Mohammad Ayub,Right-hand batsman,null,1984-05-23,2010-10-11
Abid Ali,Right-hand batsman,Leg-break,1993-02-25,2010-10-11
Imran Rind,Left-hand batsman,Left-arm medium pace,1990-01-12,2010-10-11
Abdul Qadeer,Right-hand batsman,Right-arm medium-fast,1992-01-01,2010-10-11
